bucket_utc,avg_players,min_players,max_players,n_samples
2026-01-17T00:00:00Z,230879,228111,233506,12
2026-01-18T00:00:00Z,210709,166662,259549,288
2026-01-19T00:00:00Z,205651,166330,246513,288
2026-01-20T00:00:00Z,197481,160379,231761,288
2026-01-21T00:00:00Z,171086,32034,218004,288
2026-01-22T00:00:00Z,175517,137931,210894,288
2026-01-23T00:00:00Z,174753,138781,205614,288
2026-01-24T00:00:00Z,178834,136530,223332,288
2026-01-25T00:00:00Z,186864,133668,248517,288
2026-01-26T00:00:00Z,176085,130211,217868,288
2026-01-27T00:00:00Z,160832,118321,195714,288
2026-01-28T00:00:00Z,135256,28956,178589,288
2026-01-29T00:00:00Z,141752,110879,154747,74
