bucket_utc,avg_players,min_players,max_players,n_samples
2026-01-12T00:00:00Z,211516,166662,259549,300
2026-01-19T00:00:00Z,184312,32034,248517,2016
2026-01-26T00:00:00Z,152646,28956,217868,2016
2026-02-02T00:00:00Z,143579,29058,205732,2016
2026-02-09T00:00:00Z,135210,5304,192956,2007
2026-02-16T00:00:00Z,134170,10380,189955,2014
2026-02-23T00:00:00Z,137515,2046,197754,2013
2026-03-02T00:00:00Z,135991,5615,185972,2008
2026-03-09T00:00:00Z,129648,26266,183377,2016
2026-03-16T00:00:00Z,121397,24324,170102,2005
2026-03-23T00:00:00Z,115091,14218,163686,2014
2026-03-30T00:00:00Z,115855,22,155808,2014
2026-04-06T00:00:00Z,114454,28378,161671,2015
2026-04-13T00:00:00Z,158395,13532,251781,2011
2026-04-20T00:00:00Z,164061,27262,227062,2012
2026-04-27T00:00:00Z,139412,8761,192959,1646
